"image","caption","entities","relations"
"2979.png","A diagram showing the anatomy of the human mouth and surrounding structures in an anterior view.anterior view is the title.","superior lip; superior labial frenulum; gingivae (gums); inferior labial frenulum; inferior lip; anterior view; hard palate; soft palate; uvula; cheek; molars; premolars; gingivae (gums); cuspid (canine); incisors; oral vestibule; palatoglossal arch; fauces; palatopharyngeal arch; palatine tonsil; tongue (underside); lingual frenulum; opening duct of submandibular gland; image of Mouth anatomy","superior lip → image of Mouth anatomy; superior labial frenulum → image of Mouth anatomy; gingivae (gums) → image of Mouth anatomy; inferior labial frenulum → image of Mouth anatomy; inferior lip → image of Mouth anatomy; hard palate → image of Mouth anatomy; soft palate → image of Mouth anatomy; uvula → image of Mouth anatomy; cheek → image of Mouth anatomy; molars → image of Mouth anatomy; premolars → image of Mouth anatomy; gingivae (gums) → image of Mouth anatomy; cuspid (canine) → image of Mouth anatomy; incisors → image of Mouth anatomy; oral vestibule → image of Mouth anatomy; palatoglossal arch → image of Mouth anatomy; fauces → image of Mouth anatomy; palatopharyngeal arch → image of Mouth anatomy; palatine tonsil → image of Mouth anatomy; tongue (underside) → image of Mouth anatomy; lingual frenulum → image of Mouth anatomy; opening duct of submandibular gland → image of Mouth anatomy"
"2980.png","A diagram showing the different parts of the human brain.The image has a title: parts of the human brain.","cerebellum; spinal cord; temporal lobe; parts of the human brain; frontal lobe; parietal lobe; occipital lobe; image of Brain","cerebellum → image of Brain; spinal cord → image of Brain; temporal lobe → image of Brain; frontal lobe → image of Brain; parietal lobe → image of Brain; occipital lobe → image of Brain"
"2981.png","A diagram showing the structure of a neuron","cell body; dendrite; schwann cell (myelin sheath); axon; nodes of ranvier; axon terminals; nucleus; image of Neuron","cell body → image of Neuron; dendrite → image of Neuron; schwann cell (myelin sheath) → image of Neuron; axon → image of Neuron; nodes of ranvier → image of Neuron; nucleus → image of Neuron"
"2982.png","A diagram showing various parts of the human brain with labeled regions and structures.","pons; midbrain; prefrontal cortex; temporal lobe; brain stem; medulla; cerebellum; frontal lobe; parietal lobe; basal ganglia; occipital lobe; anterior cingulate gyrus; deep limbic; image of Limbic system","pons → image of Limbic system; midbrain → image of Limbic system; prefrontal cortex → image of Limbic system; temporal lobe → image of Limbic system; brain stem → image of Limbic system; medulla → image of Limbic system; cerebellum → image of Limbic system; frontal lobe → image of Limbic system; parietal lobe → image of Limbic system; basal ganglia → image of Limbic system; occipital lobe → image of Limbic system; anterior cingulate gyrus → image of Limbic system; deep limbic → image of Limbic system"
"2983.png","A diagram showing the cross-section of the spinal cord with labeled motor and sensory tracts.","www.bandhayoga.com; descending (motor)tracts; ascending(sensory)tracts; dorsal columns(proprioception,deep touch,vibration); lateral coticospinal tract(motor); ventral coticospinal tract(motor); ventral spinothalamic tract (light touch); lateral spinothalamic tract(pain,temperature); image of Dorsal Columns","www.bandhayoga.com → I0; descending (motor)tracts → image of Dorsal Columns; ascending(sensory)tracts → image of Dorsal Columns; dorsal columns(proprioception,deep touch,vibration) → image of Dorsal Columns; lateral coticospinal tract(motor) → image of Dorsal Columns; ventral coticospinal tract(motor) → image of Dorsal Columns; ventral spinothalamic tract (light touch) → image of Dorsal Columns; lateral spinothalamic tract(pain,temperature) → image of Dorsal Columns"
"2984.png","A diagram showing a cross-section of the spinal cord and its surrounding structures","anterior horn; central canal; vertebra; gray matter; epidural space; white matter; arachnoid; dura mater; pia mater; posterior horn; subarachnoid space; spinal cord; epidural space; image of Spinal cord","anterior horn → image of Spinal cord; central canal → image of Spinal cord; vertebra → image of Spinal cord; gray matter → image of Spinal cord; epidural space → image of Spinal cord; white matter → image of Spinal cord; arachnoid → image of Spinal cord; dura mater → image of Spinal cord; pia mater → image of Spinal cord; posterior horn → image of Spinal cord; subarachnoid space → image of Spinal cord; spinal cord → image of Spinal cord; epidural space → image of Spinal cord"
"2985.png","A diagram showing the direction of tooth movement with braces. The title is: animated-teeth.com.","f; animated-teeth.com; d; 2009 wmds, inc.; a; b; g; e; b; c; a; g; image of Arrows","f → image of Arrows; d → image of Arrows; 2009 wmds, inc. → I0; a → image of Arrows; b → image of Arrows; g → image of Arrows; e → image of Arrows; b → image of Arrows; c → image of Arrows; a → image of Arrows; g → image of Arrows"
"2986.png","A diagram showing the structure of a neuron with labeled parts","5; 6; 7; 1; 2; 3; 4; image of Neuron","5 → image of Neuron; 6 → image of Neuron; 7 → image of Neuron; 1 → image of Neuron; 2 → image of Neuron; 3 → image of Neuron; 4 → image of Neuron"
"2987.png","A diagram showing various parts of the human brain with labeled regions and structures.","layer of the four twins; the wedge (cuneus); translucent wall; hard body (corpus callosum); the belt (cingulate gyrus); bark (cortex); arch (fornix); pine cone gland (pineal gland); http://upload.wikimedia.org/wikipedia/commons/e/ea/sobo 1909 624 .png; the tongue; the worm (vermis); little brain; inner chamber (thalamus); bridge (pons); breast -like things (mammillary bodies); long-ish marrow (medulla oblongata); slime gland (pituitary gland); image of Pineal Gland","layer of the four twins → image of Pineal Gland; the wedge (cuneus) → image of Pineal Gland; translucent wall → image of Pineal Gland; hard body (corpus callosum) → image of Pineal Gland; the belt (cingulate gyrus) → image of Pineal Gland; bark (cortex) → image of Pineal Gland; arch (fornix) → image of Pineal Gland; pine cone gland (pineal gland) → image of Pineal Gland; http://upload.wikimedia.org/wikipedia/commons/e/ea/sobo 1909 624 .png → I0; the tongue → image of Pineal Gland; the worm (vermis) → image of Pineal Gland; little brain → image of Pineal Gland; inner chamber (thalamus) → image of Pineal Gland; bridge (pons) → image of Pineal Gland; breast -like things (mammillary bodies) → image of Pineal Gland; long-ish marrow (medulla oblongata) → image of Pineal Gland; slime gland (pituitary gland) → image of Pineal Gland"
"2989.png","A diagram showing the different parts of the human brain within a profile outline of a head.","occipital lobe ; temporal lobe ; cerebellum ; brainstem ; frontal lobe ; prefrontal cortex ; copied with permission from westmead children's hospital, sydney; parietal lobe ; image of Frontal lobe","occipital lobe  → image of Frontal lobe; temporal lobe  → image of Frontal lobe; cerebellum  → image of Frontal lobe; brainstem  → image of Frontal lobe; frontal lobe  → image of Frontal lobe; prefrontal cortex  → image of Frontal lobe; copied with permission from westmead children's hospital, sydney → I0; parietal lobe  → image of Frontal lobe"
"2990.png","A diagram showing the structure of a neuron","nucleus; myelin sheath; axon; 2000 john wiley & sons, inc.; dendrite; axon terminal; soma (cell body); image of Neuron","nucleus → image of Neuron; myelin sheath → image of Neuron; axon → image of Neuron; 2000 john wiley & sons, inc. → I0; dendrite → image of Neuron; axon terminal → image of Neuron; soma (cell body) → image of Neuron"
"2991.png","A diagram showing the structure of a neuron","dendrites; axons from other neurons; cell body; axon hillock; terminal fibers; terminal button; nucleus; synapses; axon; image of Neuron","dendrites → image of Neuron; axons from other neurons → image of Neuron; axons from other neurons → image of Neuron; cell body → image of Neuron; axon hillock → image of Neuron; terminal fibers → image of Neuron; terminal button → image of Neuron; nucleus → image of Neuron; synapses → image of Neuron; axon → image of Neuron"
"2992.png","A diagram showing the side view of the human brain with labeled parts.Titled as human brain -side view.","www.shutterstock.com; human brain -side view; pituitary gland; medulla; pons; cerebrum; corpus callosum; ventricles; thalamus; midbrain; brain stem; cerebellum; hypothalamus; image of Cerebrum","www.shutterstock.com → I0; pituitary gland → image of Cerebrum; medulla → image of Cerebrum; pons → image of Cerebrum; cerebrum → image of Cerebrum; corpus callosum → image of Cerebrum; ventricles → image of Cerebrum; thalamus → image of Cerebrum; midbrain → image of Cerebrum; brain stem → image of Cerebrum; cerebellum → image of Cerebrum; hypothalamus → image of Cerebrum"
"2993.png","A diagram showing a cross section of the spinal cord with the route taken by afferent and efferent axons. The title is: cross section of the spinal cord, showing route taken by afferent and efferent axons.","dorsal root; to brain; vertebra; subarachnoid space; ventral root; efferent axon; motor neuron; spinal cord; cross section of the spinal cord, showing route taken by afferent and efferent axons; dura mater; afferent; dorsal root ganglion; arachnoid membrane; pia mater; spinal ; fat tissue (for cushioning); image of Dorsal root ganglion","dorsal root → image of Dorsal root ganglion; to brain → image of Dorsal root ganglion; vertebra → image of Dorsal root ganglion; subarachnoid space → image of Dorsal root ganglion; ventral root → image of Dorsal root ganglion; efferent axon → image of Dorsal root ganglion; motor neuron → image of Dorsal root ganglion; spinal cord → image of Dorsal root ganglion; dura mater → image of Dorsal root ganglion; afferent → image of Dorsal root ganglion; dorsal root ganglion → image of Dorsal root ganglion; arachnoid membrane → image of Dorsal root ganglion; pia mater → image of Dorsal root ganglion; spinal  → image of Dorsal root ganglion; fat tissue (for cushioning) → image of Dorsal root ganglion"
"2994.png","A diagram showing the structure of a neuron and its components","myelin sheath; axon terminals; nodes of ranvier; cell body; schwann cells; axon; nucleus; dendrites; image of Neuron","myelin sheath → image of Neuron; axon terminals → image of Neuron; nodes of ranvier → image of Neuron; cell body → image of Neuron; schwann cells → image of Neuron; axon → image of Neuron; nucleus → image of Neuron; dendrites → image of Neuron"
"2995.png","A diagram showing the cross-section of a plant stem with its different layers and components.","epidermis/bark; cork cambium; cortex; primary phloem; secondary xylem; vascular cambium; primary xylem; secondary phloem; image of Tissues","epidermis/bark → image of Tissues; cork cambium → image of Tissues; cortex → image of Tissues; primary phloem → image of Tissues; secondary xylem → image of Tissues; vascular cambium → image of Tissues; primary xylem → image of Tissues; secondary phloem → image of Tissues"
"2996.png","A diagram showing an annotated illustration of a mouth with labeled parts.","forward bumper; nosferatu's lament; o-ring; crumb catcher; upper umami; savory trails; the backboard; bitterville; salinovitz; careme's alley; sweet tooth; corn stranglers; image of Mouth","forward bumper → image of Mouth; nosferatu's lament → image of Mouth; o-ring → image of Mouth; crumb catcher → image of Mouth; upper umami → image of Mouth; savory trails → image of Mouth; the backboard → image of Mouth; bitterville → image of Mouth; salinovitz → image of Mouth; careme's alley → image of Mouth; sweet tooth → image of Mouth; corn stranglers → image of Mouth"
"2998.png","A diagram showing the three main parts of the human brain.Titled as three main parts of the brain.","parts of the brain; three main parts of the brain; cerebrum; brain stem (medulla); cerebellum; image of Label","cerebrum → image of Label; brain stem (medulla) → image of Label; cerebellum → image of Label"
"2999.png","A diagram showing the functional areas of the brain. Titled as the brain.","the brain; functional areas; parietal lobe; gustatory area; primary visual cortex; wernicke's area; optic radiation; cerebellum; medulla oblongata; spinal cord; @2009drtummy.com; premotor cortex; broca's area; prefrontal cortex; left cerebral hemisphere; primary auditory cortex; pons; motor cortex; primary somatic sensory cortex; image of Broca's area","functional areas → I0; parietal lobe → image of Broca's area; gustatory area → image of Broca's area; primary visual cortex → image of Broca's area; wernicke's area → image of Broca's area; optic radiation → image of Broca's area; cerebellum → image of Broca's area; medulla oblongata → image of Broca's area; spinal cord → image of Broca's area; @2009drtummy.com → I0; premotor cortex → image of Broca's area; broca's area → image of Broca's area; prefrontal cortex → image of Broca's area; left cerebral hemisphere → image of Broca's area; primary auditory cortex → image of Broca's area; pons → image of Broca's area; motor cortex → image of Broca's area; primary somatic sensory cortex → image of Broca's area"
"3001.png","A diagram showing cross-sectional compositions of various celestial bodies","ice; silicate; silicate; .callisto; ganymede (1.93); ice; silicate; silicate; metal; lo (3.50); metal; silicate; earth (5.52); mercury (5.44); metal; image of Ganymede; image of Io; image of Metal core; image of Mercury; image of Earth","ice → image of Io; silicate → image of Mercury; .callisto → image of Io; ganymede (1.93) → image of Ganymede; ice → image of Ganymede; silicate → image of Ganymede; silicate → image of Metal core; metal → image of Metal core; lo (3.50) → image of Metal core; metal → image of Earth; silicate → image of Earth; earth (5.52) → image of Earth; mercury (5.44) → image of Mercury"
"3003.png","A diagram showing the structure of a neuron with its components labeled.","dendrite; node of ranvier; schwann cell nucleus; axon; myelin; myelinated region; unmyelinated region; axon; cell; nucleus; image of Neuron","dendrite → image of Neuron; node of ranvier → image of Neuron; schwann cell nucleus → image of Neuron; axon → image of Neuron; myelin → image of Neuron; myelinated region → image of Neuron; unmyelinated region → image of Neuron; axon → image of Neuron; cell → image of Neuron"
"3004.png","A diagram showing a cross section of the human brain. Its title is: figure 1.2 a cross section of the human brain.","thalamus; cerebrum; corpus callosum; limbic area; hypothalamus; hippocampus; brainstem (ras); figure 1.2 a cross section of the human brain; amygdala; image of Hypothalamus","thalamus → image of Hypothalamus; cerebrum → image of Hypothalamus; corpus callosum → image of Hypothalamus; limbic area → image of Hypothalamus; hypothalamus → image of Hypothalamus; hippocampus → image of Hypothalamus; brainstem (ras) → image of Hypothalamus; amygdala → image of Hypothalamus"
"3005.png","A diagram showing the different parts of the human brain","cerebellum; spinal cord; brain stem; temporal lobes; frontal lobes; parietal lobes; occipital lobes; image of Frontal lobes","cerebellum → image of Frontal lobes; spinal cord → image of Frontal lobes; brain stem → image of Frontal lobes; temporal lobes → image of Frontal lobes; frontal lobes → image of Frontal lobes; parietal lobes → image of Frontal lobes; occipital lobes → image of Frontal lobes"
"3007.png","A diagram showing the parts of a pinnately compound leaf.Titled as pinnately compound leaf.","leaflet; rachis; petiolule; petiole; bud; pinnately compound leaf; image of Leaf structure","leaflet → image of Leaf structure; rachis → image of Leaf structure; petiolule → image of Leaf structure; petiole → image of Leaf structure; bud → image of Leaf structure"
"3008.png","A diagram showing the cross-section of a tree trunk with labeled parts.","outer bark; phloem (inner bark); cambium; sapwood; heartwood; pith; image of Tree trunk","outer bark → image of Tree trunk; phloem (inner bark) → image of Tree trunk; cambium → image of Tree trunk; sapwood → image of Tree trunk; heartwood → image of Tree trunk; pith → image of Tree trunk"
"3009.png","A diagram showing the anatomy of the human mouth and throat.","molars; premolars; lateral incisor; canine; oropharynx; gum; hard palate; uvula; soft palate; tonsils; tongue; labial frenulum; central incisor; image of Mouth","molars → image of Mouth; molars → image of Mouth; premolars → image of Mouth; lateral incisor → image of Mouth; canine → image of Mouth; oropharynx → image of Mouth; gum → image of Mouth; hard palate → image of Mouth; uvula → image of Mouth; soft palate → image of Mouth; tonsils → image of Mouth; tongue → image of Mouth; labial frenulum → image of Mouth; central incisor → image of Mouth"
"3010.png","A diagram showing the different lobes and parts of the human brain.","brain stem; occipital lobe; cerebellum; myhealthyfeeling.com; frontal lobe; parietal lobe; temporal lobe; image of Frontal lobe","brain stem → image of Frontal lobe; occipital lobe → image of Frontal lobe; cerebellum → image of Frontal lobe; myhealthyfeeling.com → I0; frontal lobe → image of Frontal lobe; parietal lobe → image of Frontal lobe; temporal lobe → image of Frontal lobe"
"3011.png","A diagram showing a cross-section of a biological structure with labeled parts","2; 4; 5; 3; 1; image of Cross-section","2 → image of Cross-section; 4 → image of Cross-section; 5 → image of Cross-section; 3 → image of Cross-section; 1 → image of Cross-section"
"3015.png","A diagram showing a midsagittal view of the human brain with labeled parts.a midsagittal view showing the inner boundaries of the lobes of the cerebral cortex (structures outside of the cerebrum are labeled in italics.) is the title.","precentral gyrus; a midsagittal view showing the inner boundaries of the lobes of the cerebral cortex (structures outside of the cerebrum are labeled in italics.); aqueduct of the midbrain; fourth ventricle; cerebellum; pons; medulla oblongata; mamillary body; temporal lobe; optic chiasm; hypothalamus; thalamus; central sulcus; corpus callosum; frontal lobe; 2011 pearson education, inc.; postcentral gyrus; limbic lobe; parietal lobe; parieto-occipital sulcus; occipital lobe; pineal gland; corpora quadrigemina; image of Brainstem","precentral gyrus → image of Brainstem; aqueduct of the midbrain → image of Brainstem; fourth ventricle → image of Brainstem; cerebellum → image of Brainstem; pons → image of Brainstem; medulla oblongata → image of Brainstem; mamillary body → image of Brainstem; temporal lobe → image of Brainstem; optic chiasm → image of Brainstem; hypothalamus → image of Brainstem; thalamus → image of Brainstem; central sulcus → image of Brainstem; corpus callosum → image of Brainstem; frontal lobe → image of Brainstem; 2011 pearson education, inc. → I0; postcentral gyrus → image of Brainstem; limbic lobe → image of Brainstem; parietal lobe → image of Brainstem; parieto-occipital sulcus → image of Brainstem; occipital lobe → image of Brainstem; pineal gland → image of Brainstem; corpora quadrigemina → image of Brainstem"
"3016.png","A diagram showing the anatomy of the heel area of a foot","achilles tendon; bursa; physis (growth plate); calcaneus; plantar fascia; image of Heel","achilles tendon → image of Heel; bursa → image of Heel; physis (growth plate) → image of Heel; calcaneus → image of Heel; plantar fascia → image of Heel"
"3017.png","A diagram showing the bones of the human ankle and foot","fibula; tibia; talus; image of Ankle bones","fibula → image of Ankle bones; tibia → image of Ankle bones; talus → image of Ankle bones"
"3018.png","A diagram showing the stages of bone fusion over time. Titled as time of union.","time of union; rarely unite, except in old age; 6; between puberty and the 25th year; soon after puberty; partly cartilaginous to advanced life; 1; 2; 3; 4; 5; image of Vertebrae","rarely unite, except in old age → image of Vertebrae; 6 → image of Vertebrae; between puberty and the 25th year → image of Vertebrae; soon after puberty → image of Vertebrae; partly cartilaginous to advanced life → image of Vertebrae; 1 → image of Vertebrae; 2 → image of Vertebrae; 3 → image of Vertebrae; 4 → image of Vertebrae; 5 → image of Vertebrae"
"3019.png","A diagram showing parts of a flowering plant","fall; style arm; stalk (stem); bud; spathe, covering the ovary; standard; beard; beard; branch; leaves (fan); rhizome; roots; new increase; image of Iris flower","fall → image of Iris flower; style arm → image of Iris flower; stalk (stem) → image of Iris flower; bud → image of Iris flower; spathe, covering the ovary → image of Iris flower; standard → image of Iris flower; beard → image of Iris flower; beard → image of Iris flower; branch → image of Iris flower; leaves (fan) → image of Iris flower; rhizome → image of Iris flower; roots → image of Iris flower; new increase → image of Iris flower"
"3020.png","A diagram showing parts of a flower","standard; style branch; stem; fall; image of Flower","standard → image of Flower; style branch → image of Flower; stem → image of Flower; fall → image of Flower"
"3021.png","A diagram showing the cross-section of a flower with its parts labeled.","a; b; x; c; d; image of Flower","a → image of Flower; b → image of Flower; x → image of Flower; c → image of Flower; d → image of Flower"
"3022.png","A diagram showing the parts of a flower","ovule; ovary; style; stigma; pistil; anther; stamen; filament; petal; sepal; image of Stigma","ovule → image of Stigma; ovary → image of Stigma; style → image of Stigma; stigma → image of Stigma; pistil → image of Stigma; anther → image of Stigma; stamen → image of Stigma; filament → image of Stigma; petal → image of Stigma; sepal → image of Stigma"
"3023.png","A diagram showing the anatomy of a flower and its parts.","bloom scar; seed pod; throat; sepal; proliferation; foliage; pistil; crown; roots; stamen; ovary; stigma; bud; style; filament; anther; spent bloom; bract; petal; scape; stamen; pistil; midrib; image of Flower Anatomy","bloom scar → image of Flower Anatomy; seed pod → image of Flower Anatomy; throat → image of Flower Anatomy; sepal → image of Flower Anatomy; proliferation → image of Flower Anatomy; crown → image of Flower Anatomy; roots → image of Flower Anatomy; stamen → image of Flower Anatomy; ovary → image of Flower Anatomy; stigma → image of Flower Anatomy; bud → image of Flower Anatomy; style → image of Flower Anatomy; filament → image of Flower Anatomy; spent bloom → image of Flower Anatomy; bract → image of Flower Anatomy; petal → image of Flower Anatomy; scape → image of Flower Anatomy; stamen → image of Flower Anatomy; pistil → image of Flower Anatomy; midrib → image of Flower Anatomy"
"3024.png","A diagram showing the parts of a flower. The title is: parts of a flower.","stamen; anther; stigma; style; ovary; filament; sepal; receptacle; parts of a flower; anther receptacle filament sepal ovary stamen petal stigma pistil style ; @ edhelper; petal; pistil; image of Pistil","stamen → image of Pistil; anther → image of Pistil; stigma → image of Pistil; style → image of Pistil; ovary → image of Pistil; filament → image of Pistil; sepal → image of Pistil; receptacle → image of Pistil; anther receptacle filament sepal ovary stamen petal stigma pistil style  → I0; @ edhelper → I0; petal → image of Pistil; pistil → image of Pistil"
"3025.png","A diagram showing the cross-section of a flower with its parts labeled.","d; c; a; b; x; image of Anthers","d → image of Anthers; c → image of Anthers; a → image of Anthers; b → image of Anthers; x → image of Anthers"
"3026.png","A diagram showing the cross-section of a petal at the tip.The title is: figure 1. cross-section of the petal at the tip..","figure 1. cross-section of the petal at the tip.; upper epidermis; intercelluar space; mesophyll; lacunae; lower epidermis; image of Annotations","upper epidermis → image of Annotations; intercelluar space → image of Annotations; mesophyll → image of Annotations; lacunae → image of Annotations; lower epidermis → image of Annotations"
"3027.png","A diagram showing the structure of a Lilium gynoecium, including a transverse section of a syncarpous ovary.The title is: 9.98.4 lilium gynoecium.","9.98.4 lilium gynoecium; 3 - lobed stigma; transverse section of syncarpous ovary; style; ovary of 3 carpels; ovule; locule; receptacle; vascular bundle; image of ; image of Stigma","3 - lobed stigma → image of Stigma; transverse section of syncarpous ovary → image of ; style → image of Stigma; ovary of 3 carpels → image of Stigma; ovule → image of ; locule → image of ; receptacle → image of Stigma; vascular bundle → image of "
"3028.png","A diagram showing the parts of a flower","petal; stamen; pistil; sepal; receptacle; pedicel; image of Flower","petal → image of Flower; stamen → image of Flower; pistil → image of Flower; sepal → image of Flower; receptacle → image of Flower; pedicel → image of Flower"
"3029.png","A diagram showing the anatomy of a grass plant","rachis; inflorescence (panicle-type); rhizome; spikelet peduncle; flag leaf; culm node; blade; sheath; stolon; collar; crown; image of Plant","rachis → image of Plant; inflorescence (panicle-type) → image of Plant; rhizome → image of Plant; spikelet peduncle → image of Plant; spikelet peduncle → image of Plant; spikelet peduncle → image of Plant; flag leaf → image of Plant; culm node → image of Plant; blade → image of Plant; sheath → image of Plant; stolon → image of Plant; collar → image of Plant; crown → image of Plant"
"3030.png","A diagram showing the parts of a leaf","sinus; lobe; palmate ; image of Leaf","sinus → image of Leaf; lobe → image of Leaf; palmate  → image of Leaf"
"3031.png","A diagram showing the human speech production mechanism.The image has a title: a schematic diagram of the human speech production mechanism..","diaphragm ; lung; esophagus; larynx; pharyngeal cavity; soft palate (velum); hard palate; a schematic diagram of the human speech production mechanism.; trachea; jaw; oral (or buccal) cavity; teeth; tongue; lip; nostril; nasal cavity; image of Anatomy","diaphragm  → image of Anatomy; lung → image of Anatomy; esophagus → image of Anatomy; larynx → image of Anatomy; pharyngeal cavity → image of Anatomy; soft palate (velum) → image of Anatomy; hard palate → image of Anatomy; trachea → image of Anatomy; jaw → image of Anatomy; oral (or buccal) cavity → image of Anatomy; teeth → image of Anatomy; tongue → image of Anatomy; lip → image of Anatomy; nostril → image of Anatomy; nasal cavity → image of Anatomy"
"3556.png","A diagram showing a child's face with labeled facial features","hair; eye(s); nose; mouth; ear(s); image of Face","hair → image of Face; eye(s) → image of Face; nose → image of Face; mouth → image of Face; ear(s) → image of Face"
"3557.png","A diagram showing a human skeleton with labeled parts.","skull; shoulder; elbow; neck; spine; hip; knee; ribs; wrist; ankle; image of Skull","skull → image of Skull; shoulder → image of Skull; elbow → image of Skull; neck → image of Skull; spine → image of Skull; hip → image of Skull; knee → image of Skull; ribs → image of Skull; wrist → image of Skull; ankle → image of Skull"
"3558.png","A diagram showing labeled parts of the human body","elbow; eye; toe; tongue; mouth; lips; leg; knee; hip; head; ear; bottom; face; belly button; foot; arm; back; finger; hair; hand; neck; nose; shoulder; tummy; image of Belly button; image of Foot; image of Tummy; image of Eye; image of Nose; image of Face; image of Elbow; image of Hair; image of Tongue; image of Neck; image of Finger; image of Back; image of Hand; image of Toe; image of Hip; image of Arm; image of Ear; image of Leg; image of Knee; image of Bottom; image of Lips","image of Hip → image of Hip; elbow → image of Elbow; eye → image of Eye; toe → image of Toe; tongue → image of Tongue; lips → image of Lips; leg → image of Leg; knee → image of Knee; hip → image of Hip; head → image of Hand; ear → image of Ear; bottom → image of Bottom; face → image of Face; belly button → image of Belly button; foot → image of Foot; arm → image of Arm; finger → image of Finger; hair → image of Back; hand → image of Hair; neck → image of Neck; nose → image of Nose; tummy → image of Tummy"
"3559.png","A diagram showing various muscle groups on a human body","shoulders; chest; arms; back; hips; abdominals; thighs; lower legs; image of Muscle labels","shoulders → image of Muscle labels; chest → image of Muscle labels; arms → image of Muscle labels; back → image of Muscle labels; hips → image of Muscle labels; abdominals → image of Muscle labels; thighs → image of Muscle labels; lower legs → image of Muscle labels"
"3561.png","A diagram showing the human digestive system","liver; gallbladder; stomach; small intestine; rectum; appendix; large intestine (colon); healthwise, incorporated; image of Head/Neck","liver → image of Head/Neck; gallbladder → image of Head/Neck; stomach → image of Head/Neck; small intestine → image of Head/Neck; rectum → image of Head/Neck; appendix → image of Head/Neck; large intestine (colon) → image of Head/Neck; healthwise, incorporated → I0"
"3562.png","A diagram showing different areas of the head and neck with labels.","forehead; temples; nose; around the mouth; neck; decollete; chin; cheeks; image of Forehead","forehead → image of Forehead; temples → image of Forehead; nose → image of Forehead; around the mouth → image of Forehead; neck → image of Forehead; decollete → image of Forehead; chin → image of Forehead; cheeks → image of Forehead"
"3563.png","A diagram showing the human body with labeled parts","eyes; bones; arteries & veins; joints; brain; skin; heart; ligaments; tendons; connective tissues; image of Eyes","eyes → image of Eyes; bones → image of Eyes; arteries & veins → image of Eyes; joints → image of Eyes; brain → image of Eyes; skin → image of Eyes; heart → image of Eyes; ligaments → image of Eyes; tendons → image of Eyes; connective tissues → image of Eyes"
"3564.png","A diagram showing different muscle groups on a human body","biceps; chest; shoulders; forearms; abdominals; hips-abductors; quadriceps; adductors; calves; image of Muscles","biceps → image of Muscles; chest → image of Muscles; shoulders → image of Muscles; forearms → image of Muscles; abdominals → image of Muscles; hips-abductors → image of Muscles; quadriceps → image of Muscles; adductors → image of Muscles; calves → image of Muscles"
"3565.png","A diagram showing the internal structure of a chloroplast. The title is: chloroplast.","chloroplast; inner membrane; outer membrane; lumen; stroma lamellae; thylakoid; intermembrane space; stroma; granum; (c) 2008 encylopaedia britannica, inc.; image of Thylakoid","inner membrane → image of Thylakoid; outer membrane → image of Thylakoid; lumen → image of Thylakoid; stroma lamellae → image of Thylakoid; thylakoid → image of Thylakoid; intermembrane space → image of Thylakoid; stroma → image of Thylakoid; granum → image of Thylakoid; (c) 2008 encylopaedia britannica, inc. → I0"
"3566.png","A diagram showing the three-dimensional model of chloroplast membranes. three-dimensional model of chloroplast membranes is the title.","inner membrane; (b); granum (stack of thylakoids); thylakoid; stroma (aqueous space); three-dimensional model of chloroplast membranes; outer membrane; image of Chloroplast","inner membrane → image of Chloroplast; (b) → I0; granum (stack of thylakoids) → image of Chloroplast; thylakoid → image of Chloroplast; stroma (aqueous space) → image of Chloroplast; outer membrane → image of Chloroplast"
"3567.png","A diagram showing the internal structure of a leaf with labeled parts.","chloroplasts; epidermis; vascular bundle sheath; epidermis; xylem; phloem; palisade parenchyma; spongy parenchyma; mesophyll; stoma (pore); guard cell; cuticle; image of Leaf; image of Xylem","chloroplasts → image of Xylem; chloroplasts → image of Xylem; epidermis → image of Xylem; vascular bundle sheath → image of Xylem; epidermis → image of Xylem; xylem → image of Xylem; phloem → image of Xylem; palisade parenchyma → image of Xylem; spongy parenchyma → image of Xylem; mesophyll → image of Xylem; stoma (pore) → image of Xylem; guard cell → image of Xylem; cuticle → image of Xylem"
"3568.png","A diagram showing the structure of a leaf's epidermis. The image has a title: plants.","the leaf: epidermis; cuticle; palisa de mesophyll; vein; epidermis; plants; structures; so  how does co2 and water molecules needed for photosynthesis enter the leaf?; through the stoma; co2 in; o2 out; guard cells; stoma; moist air space; spongy mesophyll; image of Stoma","the leaf: epidermis → I0; cuticle → I0; palisa de mesophyll → image of Stoma; vein → image of Stoma; epidermis → image of Stoma; structures → I0; so  how does co2 and water molecules needed for photosynthesis enter the leaf? → I0; through the stoma → I0; co2 in → image of Stoma; o2 out → image of Stoma; guard cells → image of Stoma; stoma → image of Stoma; moist air space → image of Stoma; spongy mesophyll → image of Stoma"
"3569.png","A diagram showing the structure of a leaf and its cross-section. The image has a title: leaf structure.","leaf structure; cuticle epidermis; mesophyll; bundle sheath; vascular bundle; stoma; palisade mesophyll cell; spongy mesophyll cell; image of Cross-section; image of Leaf","cuticle epidermis → image of Cross-section; mesophyll → image of Cross-section; bundle sheath → image of Cross-section; vascular bundle → image of Cross-section; stoma → image of Cross-section; palisade mesophyll cell → image of Cross-section; spongy mesophyll cell → image of Cross-section"
